age_years,min,availability_ratio,offensive_efficiency,progressive_actions,position,compition,value_tier
22,1245.0,0.65,2.7,20.0,MF,La Liga,Mid
35,1710.0,1.0,0.0,0.0,GK,Ligue 1,Low
30,1426.0,0.8888888888888888,120.0,0.13999999999999999,DF,Premier League,High
26,2056.0,0.96,1.8,115.0,MF,Serie A,High
30,1800.0,1.0,0.0,0.0,GK,La Liga,Low
37,1342.0,0.8333333333333334,17.04,0.04,MF,Ligue 1,Low
30,788.0,0.35,3.2,86.0,"MF,FW",Premier League,Low
20,684.0,0.5,34.4,,"DF,MF",La Liga,High
24,1277.0,0.8235294117647058,2.2,68.0,DF,Ligue 1,Mid
33,1578.0,0.8947368421052632,96.0,0.19,DF,Premier League,High
28,2170.0,1.0,2.2,15.1,MF,Serie A,Mid
30,1533.0,0.8947368421052632,64.0,0.08,DF,La Liga,High
34,1320.0,0.7619047619047619,2.2,31.3,"DF,FW",Serie A,Low
24,1435.0,0.8571428571428571,25.8,58.02,DF,Premier League,High
23,356.0,0.6666666666666666,,,DF,La Liga,Low
23,378.0,1.0,29.0,,MF,Serie A,Mid
23,436.0,0.5555555555555556,8.3,,FW,Premier League,Low
23,377.0,0.18181818181818182,8.2,,"FW,MF",La Liga,Low
18,316.0,1.0,20.0,,FW,Serie A,Mid
34,338.0,0.42857142857142855,,,DF,Ligue 1,Low
30,661.0,0.3125,5.4,10.7,FW,Bundesliga,Low
24,710.0,0.5625,63.0,,DF,Ligue 1,High
25,540.0,1.0,0.0,,GK,Bundesliga,Low
27,307.0,0.5,8.0,,MF,Bundesliga,Low
24,850.0,0.55,5.1,27.0,FW,Premier League,Low
22,1656.0,0.7777777777777778,8.5,42.0,FW,Ligue 1,High
24,1520.0,0.9444444444444444,39.4,57.1,DF,Premier League,High
22,522.0,0.25,32.0,,"MF,FW",Premier League,Mid
21,1481.0,0.8888888888888888,9.7,4.03,DF,Serie A,Mid
31,2353.0,0.9629629629629629,4.199999999999999,136.0,DF,Serie A,High
26,479.0,0.6,3.1,14.0,FW,La Liga,Low
24,2520.0,1.0,3.1,155.0,DF,Ligue 1,High
39,2430.0,1.0,2.2,108.0,DF,Ligue 1,High
21,443.0,0.4,0.30000000000000004,,DF,Bundesliga,Low
29,2313.0,1.0,7.0,241.0,MF,La Liga,High
23,1317.0,0.8333333333333334,33.4,3.07,DF,Ligue 1,Mid
33,1441.0,0.8181818181818182,2.7,78.0,DF,Serie A,Mid
24,1121.0,0.46153846153846156,2.4,100.0,MF,Premier League,High
23,2283.0,0.9629629629629629,22.1,52.6,FW,Ligue 1,High
22,1835.0,0.9545454545454546,6.3,249.0,DF,Bundesliga,High
29,1831.0,0.84,3.3,126.0,DF,Premier League,High
24,477.0,0.25,13.0,,MF,Premier League,Low
27,1130.0,0.875,2.2,17.9,DF,Serie A,Low
32,720.0,1.0,,,DF,Premier League,Low
32,675.0,1.0,16.6,,DF,Premier League,Low
31,1938.0,0.88,14.5,277.0,MF,Premier League,High
22,872.0,0.30434782608695654,41.5,47.17,MF,Serie A,High
28,1115.0,0.7368421052631579,4.0,140.0,MF,La Liga,High
30,921.0,0.6,12.04,0.02,DF,Serie A,Low
34,518.0,0.5555555555555556,21.0,,DF,Serie A,Low
24,1246.0,1.0,63.0,0.07,DF,Ligue 1,High
20,895.0,0.8333333333333334,0.02,0.0,DF,Serie A,Low
31,683.0,0.5,4.5,47.0,FW,Serie A,Low
31,1611.0,0.9166666666666666,4.1,121.0,MF,Ligue 1,High
26,945.0,0.6470588235294118,6.7,37.0,"FW,MF",Ligue 1,Mid
31,857.0,0.7142857142857143,32.7,78.04,DF,Ligue 1,Mid
31,309.0,0.25,4.0,,MF,La Liga,Low
31,781.0,0.6428571428571429,8.4,11.4,FW,Ligue 1,Low
26,841.0,0.38095238095238093,7.7,73.0,"FW,MF",Ligue 1,Mid
25,1100.0,0.7777777777777778,6.6,149.0,FW,La Liga,High
25,1441.0,0.6363636363636364,1.9,5.0,DF,Serie A,Low
29,1167.0,0.65,3.9,89.0,MF,Bundesliga,Mid
25,1854.0,1.0,11.0,25.2,"FW,MF",Bundesliga,High
21,322.0,1.0,,,DF,Bundesliga,Low
27,2352.0,1.0,10.7,36.2,MF,Ligue 1,High
27,365.0,0.23076923076923078,,,MF,Premier League,Low
25,551.0,0.2857142857142857,1.5,27.0,FW,Premier League,Low
25,1492.0,0.7619047619047619,2.4,75.0,DF,Serie A,Mid
28,1653.0,0.95,1.4,41.0,DF,Ligue 1,Mid
28,1334.0,0.7619047619047619,7.5,38.0,FW,Serie A,Mid
22,329.0,0.25,,,DF,Serie A,Mid
32,456.0,0.6,2.8,17.0,FW,Serie A,Low
29,1211.0,0.9375,9.5,154.0,FW,Serie A,High
24,1956.0,0.96,4.800000000000001,173.0,MF,Premier League,High
28,1413.0,0.6538461538461539,4.5,79.0,"FW,MF",Serie A,Mid
25,2340.0,1.0,0.0,0.0,GK,Serie A,High
29,2418.0,1.0,5.300000000000001,241.0,DF,Serie A,High
35,876.0,0.6875,3.1,33.4,"FW,MF",Serie A,Low
26,1764.0,0.7916666666666666,8.2,66.0,FW,Serie A,High
23,1949.0,1.0,15.8,103.9,"FW,MF",Bundesliga,High
26,1457.0,0.9444444444444444,2.0,51.0,DF,La Liga,Mid
22,1962.0,0.9166666666666666,2.8,88.0,DF,Ligue 1,High
26,436.0,1.0,0.9,13.0,"DF,MF",Bundesliga,Low
27,2076.0,0.8214285714285714,22.0,37.5,FW,Ligue 1,High
24,803.0,0.6875,15.0,,MF,Premier League,Mid
26,1722.0,0.9090909090909091,92.0,0.03,DF,Ligue 1,High
19,897.0,0.47368421052631576,75.0,0.19,MF,Ligue 1,High
22,1046.0,0.5,65.0,0.09999999999999999,DF,Ligue 1,High
24,987.0,0.52,6.2,124.0,"FW,MF",Ligue 1,High
25,1369.0,0.7894736842105263,9.0,0.19,DF,Premier League,Mid
24,1654.0,0.75,6.4,136.0,"MF,FW",Ligue 1,High
29,2520.0,1.0,0.0,0.0,GK,Ligue 1,Mid
23,1308.0,0.8260869565217391,6.9,147.0,MF,Serie A,High
26,613.0,0.875,2.7,46.0,FW,Premier League,Low
23,428.0,0.75,3.0,4.0,FW,Ligue 1,Low
29,2275.0,0.9615384615384616,2.4,78.0,DF,Premier League,High
24,395.0,0.36363636363636365,5.3,30.0,FW,Bundesliga,Low
29,1291.0,0.8,2.1999999999999997,99.0,DF,Premier League,Mid
25,1677.0,0.84,9.8,196.0,DF,Serie A,High
29,2250.0,1.0,0.0,0.0,GK,La Liga,Mid
22,780.0,0.7272727272727273,3.3,56.0,"DF,MF",Bundesliga,Mid
21,1299.0,0.9375,4.04,0.08,DF,Ligue 1,Mid
30,437.0,0.625,3.8,61.0,FW,Ligue 1,Low
26,1416.0,0.8333333333333334,54.3,8.06,DF,Premier League,High
22,1007.0,0.6666666666666666,2.8,86.0,"MF,FW",Ligue 1,Mid
23,1890.0,1.0,0.0,0.0,GK,Ligue 1,Mid
25,2430.0,0.9642857142857143,4.8,53.1,DF,Ligue 1,High
22,2017.0,0.96,2.7,13.0,DF,Ligue 1,High
31,1986.0,1.0,5.7,12.01,DF,La Liga,Mid
24,578.0,0.5,40.0,,"DF,FW",Premier League,Mid
30,1831.0,0.8333333333333334,2.0,18.0,DF,Serie A,Mid
28,2156.0,1.0,1.7999999999999998,129.0,DF,Ligue 1,High
30,936.0,0.7142857142857143,6.04,0.08,DF,Serie A,Low
24,1770.0,0.88,7.2,109.0,"FW,MF",Bundesliga,High
24,1661.0,0.8695652173913043,41.4,103.03,DF,Serie A,High
24,1406.0,1.0,2.8,27.0,DF,Bundesliga,Mid
31,667.0,0.5833333333333334,20.8,,"DF,MF",Premier League,Low
20,1240.0,0.7368421052631579,2.8,64.0,DF,Serie A,High
20,601.0,0.2631578947368421,33.3,,"MF,FW",Ligue 1,High
25,342.0,0.5,,,"FW,MF",Bundesliga,Low
24,1581.0,0.8571428571428571,3.0,121.0,MF,Serie A,High
33,309.0,0.5,0.8,11.0,DF,Serie A,Low
24,2520.0,1.0,0.0,0.0,GK,Ligue 1,High
25,2515.0,1.0,7.8,25.0,DF,Premier League,High
30,936.0,0.5555555555555556,2.5,41.0,MF,Premier League,Low
23,2023.0,1.0,14.6,102.04,MF,Premier League,High
17,1003.0,0.47619047619047616,2.8,83.0,"MF,FW",Ligue 1,High
19,1471.0,0.8888888888888888,0.6000000000000001,86.0,DF,Ligue 1,High
20,910.0,0.55,5.8,29.1,MF,Ligue 1,Mid
26,1714.0,1.0,98.0,0.13,"DF,FW",Ligue 1,High
24,397.0,0.3333333333333333,,,MF,Premier League,Low
25,2136.0,1.0,0.0,0.0,GK,Serie A,Mid
21,477.0,0.7777777777777778,0.8,27.0,"FW,MF",Bundesliga,Low
32,1014.0,0.6666666666666666,3.8,13.6,"MF,FW",Bundesliga,Low
28,2104.0,1.0,4.8,49.05,DF,La Liga,High
29,2090.0,1.0,15.399999999999999,36.2,FW,Bundesliga,High
28,624.0,0.875,20.0,,MF,Serie A,Low
28,689.0,0.6923076923076923,45.0,,MF,Bundesliga,Mid
26,1561.0,0.75,6.699999999999999,79.0,DF,Serie A,High
30,611.0,0.4375,29.0,,MF,Serie A,Low
31,2249.0,1.0,13.0,0.11000000000000001,DF,Premier League,Mid
30,2520.0,1.0,0.0,0.0,GK,Ligue 1,Mid
23,971.0,0.45,3.9000000000000004,18.0,FW,La Liga,Low
25,1748.0,0.75,132.0,0.07,DF,Ligue 1,High
29,1431.0,0.9,9.3,47.7,"MF,FW",Serie A,Mid
37,1566.0,0.6296296296296297,11.7,85.0,FW,Serie A,Mid
24,930.0,0.45,11.01,0.02,DF,Serie A,Low
27,1070.0,0.75,4.5,38.0,DF,Serie A,Low
29,2430.0,1.0,0.04,0.04,GK,Premier League,Mid
23,1446.0,0.6666666666666666,4.5,60.0,MF,Serie A,Mid
25,1277.0,0.56,4.1,50.0,FW,Premier League,Mid
20,541.0,0.3333333333333333,,,"FW,MF",Premier League,Mid
26,1829.0,0.8333333333333334,1.5,85.0,MF,Bundesliga,High
31,845.0,0.5263157894736842,1.6,59.0,MF,La Liga,Low
27,1055.0,0.47619047619047616,4.2,79.0,DF,Serie A,Mid
25,790.0,0.6,69.0,,"FW,MF",Bundesliga,High
33,953.0,0.45,5.3,42.1,MF,Serie A,Low
20,827.0,0.42105263157894735,6.6,77.0,FW,Ligue 1,Mid
20,426.0,0.3125,20.0,,FW,Premier League,Mid
19,1428.0,0.6153846153846154,4.8,160.0,"MF,FW",Premier League,High
23,1019.0,0.2692307692307692,6.4,27.4,"FW,MF",Serie A,Mid
29,1028.0,0.75,16.0,38.05,DF,La Liga,Mid
26,2025.0,1.0,4.7,18.0,DF,Bundesliga,High
29,2165.0,1.0,41.0,0.04,DF,La Liga,High
20,1831.0,0.875,16.2,50.1,FW,Ligue 1,High
28,1734.0,0.84,47.6,85.13,"MF,FW",Premier League,High
30,969.0,0.6,3.2,48.5,"FW,MF",La Liga,Low
26,1757.0,0.6785714285714286,15.3,29.4,FW,Ligue 1,High
24,1391.0,0.7272727272727273,3.2,44.3,DF,Premier League,Mid
25,1049.0,0.5,13.5,60.0,FW,La Liga,Mid
30,2112.0,1.0,7.2,73.0,MF,Bundesliga,High
19,826.0,1.0,7.9,11.03,MF,Bundesliga,Mid
31,1489.0,0.9473684210526315,5.7,120.0,MF,Premier League,Mid
25,1698.0,0.95,4.01,0.02,DF,Serie A,Mid
30,555.0,0.7777777777777778,3.4,,MF,Serie A,Low
30,600.0,0.875,2.8,4.0,MF,La Liga,Low
33,954.0,0.8571428571428571,35.0,0.16999999999999998,DF,La Liga,Low
31,2132.0,0.96,35.3,86.04,DF,La Liga,High
33,846.0,0.7142857142857143,23.0,0.16999999999999998,DF,La Liga,Low
20,1362.0,0.7894736842105263,10.0,0.06,DF,Ligue 1,Mid
25,1577.0,0.8636363636363636,58.4,114.03,DF,Premier League,High
35,811.0,0.9,6.02,0.02,DF,Premier League,Low
26,970.0,0.5238095238095238,2.4,72.0,MF,La Liga,Mid
24,1736.0,0.7142857142857143,6.3,120.0,"MF,FW",Premier League,High
23,326.0,0.18181818181818182,33.0,,"MF,DF",La Liga,Mid
21,925.0,0.631578947368421,2.8,52.7,"FW,MF",La Liga,Mid
37,2031.0,1.0,0.0,0.0,GK,Premier League,Low
29,1685.0,0.7916666666666666,30.0,0.08,MF,Premier League,Mid
23,1193.0,0.8333333333333334,1.2999999999999998,68.0,DF,Ligue 1,Mid
24,1796.0,1.0,58.0,0.05,DF,Premier League,High
22,955.0,0.5555555555555556,1.5,55.0,MF,Serie A,Mid
34,720.0,1.0,0.0,,GK,Bundesliga,Low
24,469.0,0.7142857142857143,3.3,53.0,"FW,MF",Ligue 1,Low
24,300.0,0.3,38.0,,MF,Ligue 1,Mid
37,508.0,0.15,4.5,2.9,"FW,MF",La Liga,Low
27,2430.0,1.0,0.0,0.0,GK,Serie A,Mid
29,1272.0,0.8888888888888888,10.0,0.07,"DF,MF",La Liga,Low
31,791.0,0.8461538461538461,2.5999999999999996,46.0,DF,Serie A,Low
20,932.0,0.375,7.2,52.0,FW,La Liga,Mid
18,544.0,0.2631578947368421,7.0,,MF,Ligue 1,Mid
36,1063.0,0.9230769230769231,0.7999999999999999,53.0,DF,Serie A,Low
20,366.0,0.21428571428571427,31.0,,MF,Serie A,Mid
34,375.0,0.5,,,DF,La Liga,Low
29,961.0,0.8,6.4,43.6,MF,La Liga,Mid
33,534.0,0.8333333333333334,2.5,,DF,Premier League,Low
26,1032.0,0.9285714285714286,24.0,0.05,DF,La Liga,Mid
23,516.0,1.0,6.1,66.0,"FW,MF",Premier League,Mid
23,650.0,0.5,4.3,44.0,"FW,MF",La Liga,Low
25,976.0,0.7692307692307693,9.4,4.01,DF,Bundesliga,Low
32,899.0,0.6666666666666666,0.06,0.0,DF,La Liga,Low
18,466.0,0.5,2.5,11.0,FW,Premier League,Low
23,1539.0,0.8571428571428571,7.6,92.0,MF,Serie A,High
28,2248.0,1.0,10.3,65.1,"MF,FW",Premier League,High
26,1685.0,0.8260869565217391,11.4,16.02,DF,Bundesliga,Mid
31,1260.0,1.0,0.0,0.0,GK,La Liga,Low
30,1423.0,0.6956521739130435,3.7,71.0,"MF,FW",La Liga,Mid
24,990.0,1.0,0.0,0.0,GK,La Liga,Low
26,408.0,0.4,2.6,44.0,FW,La Liga,Low
22,623.0,1.0,83.0,,MF,Premier League,High
26,1511.0,0.8421052631578947,1.1,7.0,DF,La Liga,Mid
32,2205.0,1.0,0.0,0.0,GK,La Liga,Mid
35,1144.0,0.9333333333333333,55.0,0.02,"MF,DF",La Liga,Mid
28,868.0,0.8333333333333334,10.0,0.08,DF,Serie A,Low
28,682.0,0.9,,,DF,Serie A,Low
31,2030.0,0.96,32.2,160.01,MF,Ligue 1,High
33,867.0,0.625,1.4000000000000001,29.3,"MF,FW",La Liga,Low
31,1031.0,0.5789473684210527,11.3,91.0,"FW,MF",Premier League,Mid
26,739.0,0.6363636363636364,0.6,35.0,DF,Premier League,Low
22,375.0,0.6666666666666666,12.0,,DF,Bundesliga,Low
29,2250.0,1.0,0.0,0.0,GK,Bundesliga,Mid
22,512.0,0.625,,,MF,Bundesliga,Low
23,1400.0,0.8695652173913043,4.6,27.2,"FW,DF",Ligue 1,Mid
22,1406.0,0.7083333333333334,7.8,101.0,FW,Premier League,High
27,2263.0,0.9615384615384616,9.1,92.2,MF,Ligue 1,High
22,558.0,0.7142857142857143,23.6,,DF,Premier League,Mid
22,720.0,1.0,0.0,,GK,Ligue 1,Low
24,2289.0,0.9629629629629629,4.2,62.8,MF,Ligue 1,High
28,1159.0,0.9285714285714286,30.11,0.02,DF,Ligue 1,Mid
39,1872.0,0.9565217391304348,2.8,12.0,DF,Ligue 1,Low
27,1038.0,0.5,3.5,90.0,"FW,MF",Premier League,Mid
31,1096.0,0.5,6.6,20.8,"MF,FW",Bundesliga,Low
35,630.0,1.0,0.0,,GK,Premier League,Low
28,1024.0,0.6,2.7,62.0,MF,Bundesliga,Mid
30,1115.0,0.55,27.9,48.01,"DF,MF",La Liga,Mid
25,1171.0,0.8666666666666667,2.4,44.0,DF,La Liga,Mid
27,2042.0,0.7857142857142857,3.2,44.2,"DF,MF",Ligue 1,High
29,313.0,0.375,31.0,,FW,Premier League,Low
23,2150.0,0.9629629629629629,12.1,130.0,MF,Serie A,High
30,969.0,0.43478260869565216,3.8,60.0,MF,Premier League,Low
30,533.0,0.4166666666666667,,,DF,Premier League,Low
18,1006.0,0.7692307692307693,90.0,0.09,DF,La Liga,High
30,1810.0,0.8695652173913043,16.0,0.07,MF,Premier League,Mid
28,613.0,0.7,8.0,,FW,Bundesliga,Low
25,1784.0,1.0,99.0,0.03,DF,Bundesliga,High
27,964.0,0.6666666666666666,1.6,7.0,DF,Bundesliga,Low
22,1927.0,0.92,10.600000000000001,174.0,"DF,MF",Bundesliga,High
25,1501.0,0.7083333333333334,5.4,79.1,"FW,MF",Bundesliga,High
26,415.0,0.8571428571428571,2.5,49.0,"MF,FW",Ligue 1,Low
26,525.0,0.3125,4.4,,MF,Bundesliga,Low
30,2117.0,1.0,15.8,40.0,FW,Bundesliga,High
23,603.0,0.5454545454545454,,,DF,Serie A,Mid
31,1451.0,0.6666666666666666,7.6,49.0,"FW,MF",Serie A,Mid
28,414.0,0.25,29.0,,MF,Serie A,Low
24,371.0,0.5714285714285714,,,FW,Serie A,Low
23,658.0,0.8888888888888888,18.8,,FW,Premier League,Mid
28,2260.0,0.9615384615384616,97.8,161.02,DF,La Liga,High
29,1744.0,0.9090909090909091,32.0,0.06999999999999999,MF,La Liga,Mid
23,945.0,0.4166666666666667,2.4,30.3,"MF,FW",Premier League,Mid
23,1692.0,0.8636363636363636,54.4,113.01,DF,Serie A,High
29,1890.0,1.0,0.0,0.0,GK,Ligue 1,Mid
33,1272.0,1.0,24.0,0.05,DF,Bundesliga,Low
35,1865.0,0.8461538461538461,12.2,49.7,FW,Ligue 1,Mid
33,1794.0,0.9565217391304348,22.0,12.01,MF,Premier League,Mid
24,1145.0,0.6,6.1,88.0,FW,Ligue 1,Mid
25,2142.0,1.0,7.5,176.0,MF,La Liga,High
30,2014.0,0.9583333333333334,6.1,140.0,"FW,MF",La Liga,High
32,531.0,0.875,1.9,28.0,"MF,FW",La Liga,Low
32,925.0,0.6470588235294118,4.8,3.05,MF,La Liga,Low
29,2029.0,1.0,0.9,90.0,DF,La Liga,High
22,909.0,0.7857142857142857,64.4,17.1,DF,La Liga,High
23,2327.0,1.0,138.7,119.03,DF,La Liga,High
36,708.0,0.2,4.300000000000001,34.0,"FW,MF",La Liga,Low
29,728.0,0.3,2.9000000000000004,46.0,"MF,FW",La Liga,Low
31,1361.0,0.9411764705882353,10.1,41.01,DF,La Liga,Mid
18,453.0,0.26666666666666666,2.6,30.0,"FW,MF",Premier League,Low
35,1703.0,0.9047619047619048,2.0,154.0,MF,Ligue 1,Mid
24,634.0,0.875,8.0,,DF,Serie A,Low
18,1716.0,0.8,4.6,123.0,"MF,FW",La Liga,High
31,1440.0,1.0,0.0,0.0,GK,La Liga,Low
32,2340.0,1.0,0.0,0.0,GK,Premier League,Mid
24,1429.0,1.0,2.2,100.0,MF,Bundesliga,High
22,2251.0,0.9259259259259259,35.1,69.02,DF,Serie A,High
29,1413.0,0.85,6.0,74.0,MF,Bundesliga,Mid
32,636.0,0.2,5.6,46.0,"FW,MF",Ligue 1,Low
25,417.0,0.6,1.9000000000000001,38.0,MF,Ligue 1,Low
26,534.0,0.5454545454545454,4.6,,DF,Serie A,Low
23,2006.0,0.9583333333333334,9.6,142.0,"MF,FW",Premier League,High
31,1185.0,0.65,15.7,44.08,DF,Bundesliga,Mid
29,1392.0,0.8947368421052632,4.6,27.8,DF,Ligue 1,Mid
35,1890.0,1.0,0.0,0.0,GK,Bundesliga,Low
25,1688.0,0.9545454545454546,31.1,73.03,DF,La Liga,High
29,2250.0,1.0,1.8,118.0,DF,Bundesliga,High
31,2412.0,1.0,2.8,116.0,"DF,MF",Ligue 1,High
36,1577.0,0.7916666666666666,15.9,18.3,FW,Serie A,Low
27,1320.0,0.6,13.0,63.7,FW,Bundesliga,High
19,1064.0,0.75,2.9,83.0,"FW,MF",Premier League,High
25,511.0,0.75,8.0,,DF,Premier League,Low
26,1877.0,0.8076923076923077,9.1,162.0,"MF,FW",Ligue 1,High
29,1212.0,0.65,1.6,131.0,MF,Ligue 1,Mid
22,2115.0,0.9629629629629629,7.2,28.5,MF,Ligue 1,High
24,310.0,0.42857142857142855,,,DF,Premier League,Low
25,1286.0,0.6842105263157895,15.0,0.03,DF,Premier League,Mid
28,2111.0,0.9615384615384616,4.7,186.0,"MF,FW",La Liga,High
35,670.0,0.46153846153846156,20.6,,"MF,FW",La Liga,Low
31,1598.0,0.85,35.0,0.05,DF,La Liga,Mid
34,853.0,0.75,1.1,8.0,MF,Ligue 1,Low
28,930.0,0.5333333333333333,1.08,0.16,DF,La Liga,Low
25,1236.0,0.7222222222222222,30.0,0.11,DF,La Liga,Mid
28,791.0,0.7272727272727273,10.4,,DF,La Liga,Low
21,1851.0,0.8461538461538461,2.6,73.0,MF,Serie A,High
24,905.0,0.5294117647058824,7.4,29.2,"FW,MF",Serie A,Mid
21,684.0,0.4666666666666667,1.9000000000000001,22.0,MF,La Liga,Low
25,1858.0,0.9545454545454546,10.04,0.08,DF,Ligue 1,Mid
22,1095.0,0.75,7.199999999999999,95.0,FW,Premier League,High
28,1323.0,0.8947368421052632,6.3,121.0,MF,Bundesliga,High
26,998.0,0.6875,80.0,0.1,DF,La Liga,High
28,664.0,0.21739130434782608,4.1,86.0,"DF,FW",Serie A,Low
30,2041.0,1.0,6.6,146.0,MF,Bundesliga,High
23,1697.0,0.8695652173913043,10.9,93.0,FW,Ligue 1,High
31,2096.0,1.0,17.3,5.06,DF,Bundesliga,Mid
30,1930.0,1.0,1.9000000000000001,203.0,DF,Ligue 1,High
28,569.0,0.4666666666666667,7.0,,MF,Serie A,Low
20,318.0,0.06666666666666667,23.0,,MF,Bundesliga,Mid
25,1038.0,0.9230769230769231,32.0,0.17,DF,Ligue 1,Mid
26,2023.0,0.8461538461538461,7.2,80.4,"FW,MF",Premier League,High
27,1525.0,0.8095238095238095,8.0,174.0,"FW,MF",Premier League,High
21,339.0,0.13333333333333333,1.7000000000000002,20.0,"MF,FW",Premier League,Low
28,1781.0,0.9583333333333334,11.5,69.0,FW,Bundesliga,High
32,608.0,0.4,28.0,,MF,La Liga,Low
32,1780.0,0.7307692307692307,14.100000000000001,167.0,"FW,MF",La Liga,High
29,1682.0,0.875,8.9,53.5,"FW,MF",Bundesliga,High
24,360.0,1.0,0.0,,GK,Bundesliga,Low
34,1377.0,0.8947368421052632,0.5,25.0,MF,Bundesliga,Low
31,2181.0,1.0,10.4,206.0,"MF,DF",Premier League,High
22,1306.0,0.6521739130434783,33.0,0.060000000000000005,MF,Bundesliga,High
27,961.0,0.9230769230769231,0.03,0.03,MF,Bundesliga,Low
36,2340.0,1.0,0.0,0.0,GK,Premier League,Mid
36,972.0,0.6111111111111112,1.3,63.0,MF,La Liga,Low
31,502.0,0.5714285714285714,27.0,,FW,La Liga,Low
31,376.0,0.6666666666666666,3.2,22.0,FW,La Liga,Low
31,1964.0,0.9565217391304348,3.0,29.0,"DF,MF",La Liga,Mid
23,434.0,0.36363636363636365,50.0,,"DF,FW",Ligue 1,Mid
26,707.0,0.6153846153846154,1.7,36.0,"FW,MF",Premier League,Low
22,2430.0,1.0,10.0,0.05,DF,Premier League,High
23,1716.0,0.7692307692307693,3.9,161.0,MF,Ligue 1,High
29,1660.0,1.0,6.3,171.0,"DF,MF",Bundesliga,High
21,1112.0,0.5,3.5999999999999996,70.0,"FW,MF",Ligue 1,High
24,521.0,1.0,6.0,,MF,La Liga,Low
24,492.0,0.2857142857142857,1.6,40.0,"MF,DF",Ligue 1,Low
32,630.0,0.3333333333333333,0.8999999999999999,7.0,"MF,DF",Bundesliga,Low
28,595.0,0.875,42.0,,DF,Ligue 1,Mid
23,1522.0,0.8181818181818182,1.4000000000000001,12.9,MF,La Liga,Mid
25,1667.0,1.0,3.2,148.0,MF,Premier League,High
27,976.0,0.9230769230769231,6.1,15.8,FW,Bundesliga,Low
32,540.0,1.0,0.0,,GK,Bundesliga,Low
32,328.0,0.4,,,DF,Bundesliga,Low
28,1765.0,0.8333333333333334,14.6,31.04,MF,La Liga,Mid
24,1686.0,0.9047619047619048,1.1,68.0,DF,Bundesliga,High
32,1756.0,0.8333333333333334,13.0,149.0,MF,Premier League,High
30,2125.0,1.0,40.3,95.04,"DF,MF",Bundesliga,High
28,1003.0,0.8461538461538461,2.8,10.0,DF,Serie A,Low
26,744.0,0.42105263157894735,7.1,55.0,FW,La Liga,Low
19,1442.0,1.0,63.2,137.01,DF,Ligue 1,High
26,879.0,0.5263157894736842,4.13,0.26,MF,La Liga,Low
21,1738.0,0.8333333333333334,2.9,129.0,DF,La Liga,High
21,1666.0,0.782608695652174,3.5,26.0,DF,Bundesliga,High
29,1967.0,1.0,7.2,135.0,"FW,DF",Serie A,High
30,1150.0,0.7894736842105263,5.03,0.06,DF,Serie A,Low
32,501.0,0.16666666666666666,8.7,,FW,Serie A,Low
22,2112.0,0.9615384615384616,24.1,25.7,FW,Premier League,High
27,956.0,0.5555555555555556,2.9,28.0,MF,Serie A,Low
28,1513.0,0.9130434782608695,6.9,66.0,MF,Bundesliga,Mid
29,1124.0,0.7777777777777778,53.0,0.03,DF,Bundesliga,Mid
27,662.0,0.2222222222222222,2.2,35.0,"MF,FW",La Liga,Low
20,637.0,0.7777777777777778,16.4,,DF,Ligue 1,Mid
32,391.0,0.5714285714285714,8.4,,"FW,MF",Bundesliga,Low
25,903.0,0.34782608695652173,2.5,58.0,MF,Bundesliga,Low
30,1334.0,0.5769230769230769,66.0,0.24000000000000002,"DF,MF",Ligue 1,High
24,1508.0,0.7619047619047619,5.5,141.0,"DF,MF",Ligue 1,High
18,304.0,0.8,29.0,,"DF,MF",Premier League,Mid
28,562.0,0.6,7.199999999999999,38.0,FW,Bundesliga,Low
31,1225.0,0.5909090909090909,1.7000000000000002,60.0,DF,Bundesliga,Low
35,852.0,0.7333333333333333,6.0,30.3,"FW,MF",Ligue 1,Low
26,777.0,1.0,30.0,,DF,Bundesliga,Mid
38,900.0,1.0,0.0,0.0,GK,Serie A,Low
31,590.0,1.0,42.0,,MF,Bundesliga,Mid
31,498.0,0.5454545454545454,,,MF,Bundesliga,Low
25,515.0,0.6,73.0,,"MF,FW",Ligue 1,High
26,1833.0,0.92,6.6,146.0,"FW,MF",Premier League,High
25,338.0,0.125,18.6,,MF,Serie A,Low
39,733.0,0.8,,,DF,Bundesliga,Low
29,1397.0,1.0,2.8,71.0,DF,Serie A,Mid
23,1978.0,0.8846153846153846,12.5,47.1,"FW,MF",Premier League,High
29,464.0,0.14285714285714285,71.0,,"FW,DF",Bundesliga,Mid
32,2014.0,1.0,47.1,101.06,DF,Bundesliga,High
27,712.0,0.5,2.2,37.0,FW,Premier League,Low
26,1138.0,0.52,7.5,130.0,"MF,FW",Ligue 1,High
29,419.0,0.6666666666666666,,,DF,Bundesliga,Low
26,1620.0,1.0,0.0,0.0,GK,Premier League,Mid
32,1261.0,0.6086956521739131,24.9,32.05,MF,Premier League,Mid
26,783.0,0.5,10.5,,MF,Serie A,Low
26,1613.0,0.7727272727272727,1.9000000000000001,114.0,"DF,MF",Bundesliga,High
22,1303.0,0.6521739130434783,3.5,56.0,FW,La Liga,High
25,1196.0,0.631578947368421,3.8,63.0,MF,Serie A,Mid
25,2316.0,1.0,114.0,0.14,DF,Premier League,High
28,1030.0,0.8125,4.5,61.0,FW,Serie A,Mid
